epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,7548.99,1.18536,2.27638,0.78673,0.95344,0.35143,0.31752,0.30053,0.17979,0.48606,0.24602,0.26689,0.1388,1.26422,2.49977,0.84647,0.98108,0.000516079,0.000516079,0.000516079
30,7807.55,1.18332,2.2787,0.78419,0.95377,0.44524,0.27,0.29959,0.17405,0.43611,0.24634,0.27134,0.13776,1.26718,2.5124,0.85209,0.98651,0.000509011,0.000509011,0.000509011
31,8066.76,1.17608,2.25838,0.77786,0.95552,0.55212,0.26717,0.30446,0.17807,0.54192,0.24077,0.27255,0.14003,1.25476,2.49608,0.84865,0.98124,0.000501942,0.000501942,0.000501942
32,8325.42,1.17948,2.26049,0.77427,0.94874,0.3626,0.30495,0.29684,0.1734,0.4232,0.24188,0.26619,0.13613,1.26176,2.49201,0.84746,0.97949,0.000494873,0.000494873,0.000494873
33,8583.12,1.17558,2.24373,0.77225,0.94985,0.43026,0.27091,0.29461,0.16858,0.42277,0.23473,0.2588,0.13076,1.25868,2.49074,0.84934,0.98061,0.000487805,0.000487805,0.000487805
34,8842.29,1.18103,2.25365,0.77152,0.94992,0.39637,0.29315,0.30647,0.18144,0.46605,0.24385,0.2795,0.14675,1.25257,2.49207,0.8355,0.98075,0.000480736,0.000480736,0.000480736
35,9101.45,1.1615,2.22414,0.76587,0.94836,0.44388,0.27313,0.30263,0.17882,0.43415,0.25174,0.27279,0.14164,1.25043,2.48081,0.8255,0.98011,0.000473668,0.000473668,0.000473668
36,9359.02,1.16052,2.22119,0.75502,0.9455,0.40531,0.27496,0.29375,0.17231,0.41195,0.24068,0.25864,0.13289,1.24573,2.478,0.84159,0.97513,0.000466599,0.000466599,0.000466599
37,9620.74,1.1585,2.22739,0.75809,0.94643,0.39252,0.29347,0.30753,0.18372,0.45025,0.24505,0.27791,0.14523,1.24981,2.48761,0.83481,0.97937,0.00045953,0.00045953,0.00045953
38,9882.33,1.15181,2.22026,0.74671,0.9434,0.37812,0.32031,0.32043,0.19363,0.56218,0.26063,0.2892,0.15134,1.25021,2.47079,0.82247,0.97715,0.000452462,0.000452462,0.000452462
39,10143.7,1.16514,2.24027,0.7546,0.94476,0.39408,0.31235,0.3068,0.18105,0.36352,0.28753,0.2746,0.14396,1.25411,2.46565,0.82674,0.98009,0.000445393,0.000445393,0.000445393
40,10408.9,1.15711,2.21893,0.75399,0.94407,0.38192,0.33525,0.3119,0.18716,0.35687,0.30969,0.27979,0.14567,1.25111,2.45665,0.82397,0.97864,0.000438325,0.000438325,0.000438325
41,10675.2,1.15029,2.21177,0.74945,0.94552,0.40702,0.32508,0.3218,0.19532,0.38027,0.3039,0.2899,0.15442,1.25012,2.46779,0.82024,0.9814,0.000431256,0.000431256,0.000431256
42,10938.3,1.14678,2.20121,0.74728,0.94238,0.48814,0.32856,0.33495,0.20256,0.43876,0.31723,0.29478,0.15625,1.23968,2.46595,0.81471,0.97866,0.000424187,0.000424187,0.000424187
43,11203.2,1.16375,2.22533,0.74857,0.94378,0.37891,0.33563,0.31857,0.18963,0.35529,0.31372,0.28448,0.14655,1.2342,2.45551,0.81196,0.97435,0.000417119,0.000417119,0.000417119
44,11466.8,1.14845,2.20716,0.74076,0.9408,0.36578,0.32095,0.30624,0.18326,0.33996,0.29885,0.27753,0.1472,1.24489,2.46111,0.81712,0.97893,0.00041005,0.00041005,0.00041005
45,11730.5,1.15077,2.20045,0.74103,0.94283,0.37756,0.31282,0.29635,0.17683,0.35769,0.28809,0.26568,0.14067,1.23584,2.46315,0.82951,0.97511,0.000402982,0.000402982,0.000402982
46,11993.2,1.14247,2.19594,0.73664,0.94004,0.46615,0.29342,0.31568,0.19099,0.44264,0.27406,0.28442,0.14933,1.23806,2.46714,0.81546,0.97217,0.000395913,0.000395913,0.000395913
47,12255.8,1.13089,2.16623,0.72478,0.93604,0.39853,0.31996,0.30441,0.17818,0.44007,0.24693,0.2713,0.13982,1.23737,2.45701,0.82078,0.97525,0.000388844,0.000388844,0.000388844
48,12520,1.14609,2.20838,0.73655,0.9396,0.41898,0.31972,0.31212,0.18624,0.42061,0.29115,0.28065,0.14762,1.23635,2.44668,0.81189,0.97327,0.000381776,0.000381776,0.000381776
49,12786.5,1.13088,2.17058,0.72235,0.93513,0.44279,0.30992,0.31541,0.18969,0.41649,0.28584,0.28088,0.14863,1.22994,2.43623,0.81358,0.97132,0.000374707,0.000374707,0.000374707
50,13048.2,1.13748,2.17247,0.72742,0.93849,0.44542,0.30058,0.30873,0.18417,0.42429,0.27582,0.27482,0.14638,1.23942,2.44801,0.81191,0.9768,0.000367639,0.000367639,0.000367639
51,13313.3,1.13862,2.18889,0.72773,0.93566,0.43024,0.29791,0.32126,0.19558,0.39487,0.27454,0.28858,0.15324,1.2361,2.45045,0.80872,0.97369,0.00036057,0.00036057,0.00036057
52,13576.8,1.12637,2.16169,0.72222,0.93583,0.43344,0.31988,0.32545,0.19424,0.40712,0.29388,0.28634,0.15057,1.22925,2.44357,0.80874,0.97171,0.000353501,0.000353501,0.000353501
53,13841.9,1.12575,2.16856,0.72333,0.93779,0.48494,0.28969,0.31372,0.18863,0.45398,0.26629,0.27675,0.14993,1.22915,2.44954,0.80575,0.97299,0.000346433,0.000346433,0.000346433
